True target HR,True target lnhr,Simulated std.error
0.1,-2.302585093,0.107405142
0.125,-2.079441542,0.099452633
0.15,-1.897119985,0.093908211
0.175,-1.742969305,0.089538562
0.2,-1.609437912,0.086036796
0.225,-1.491654877,0.083174214
0.25,-1.386294361,0.080871618
0.275,-1.290984181,0.078994685
0.3,-1.203972804,0.077255438
0.325,-1.123930097,0.075822603
0.35,-1.049822124,0.074580312
0.375,-0.980829253,0.073478167
0.4,-0.916290732,0.072491078
0.425,-0.85566611,0.07161856
0.45,-0.798507696,0.070792604
0.475,-0.744440475,0.07011429
0.5,-0.693147181,0.069461316
0.525,-0.644357016,0.06888121
0.55,-0.597837001,0.068358634
0.575,-0.553385238,0.067893222
0.6,-0.510825624,0.067462616
0.625,-0.470003629,0.067025595
0.65,-0.430782916,0.06667152
0.675,-0.393042588,0.066326267
0.7,-0.356674944,0.066022622
0.725,-0.321583624,0.065723699
0.75,-0.287682072,0.065457333
0.775,-0.25489225,0.065213681
0.8,-0.223143551,0.064982601
0.825,-0.192371893,0.064805532
0.85,-0.162518929,0.064639093
0.875,-0.133531393,0.064430165
0.9,-0.105360516,0.064276249
0.925,-0.077961541,0.064130386
0.95,-0.051293294,0.064009906
0.975,-0.025317808,0.063893221
1,0,0.063770544
